Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake,Preferred Sports Drink Type,Average Weekly Consumption (Bottles)
913168,Male,18,6,Build muscle,1,2876,Fresh juice,8
325281,Female,34,5.5,General health,4,2034,Fresh juice,15
737147,Female,25,7.4,Build muscle,4,2649,,10
998613,Male,31,5.8,Build muscle,2,2904,Protein shakes,7
494070,Male,23,,Endurance training,0,2256,Protein shakes,9
452228,Female,29,,Build muscle,4,2664,Protein shakes,12
531839,Female,25,5.4,Endurance training,4,2076,,6
369536,Male,22,7.4,Endurance training,4,2084,Fresh juice,11
417824,Female,20,6,Build muscle,1,2545,Energy drinks,7
357426,Male,32,6.1,Build muscle,3,2892,Electrolyte,6
277789,Female,20,6.9,Build muscle,4,2900,Energy drinks,12
613153,Male,30,7.6,Build muscle,5,2546,Fresh juice,10
842452,Male,28,6.3,Build muscle,4,2712,Protein shakes,12
937291,Male,27,4,Build muscle,0,2978,Protein shakes,10
225657,Female,26,4.9,Build muscle,2,2986,Protein shakes,10
335167,Male,20,6.1000000000000005,Fat loss,1,1558,Protein shakes,11
781669,Male,23,5.1,Endurance training,1,2053,Fresh juice,10
580671,Male,28,7.9,Fat loss,6,1841,Protein shakes,13
819094,Male,33,3.8000000000000003,Build muscle,0,,Protein shakes,7
170467,Other,22,6.5,Build muscle,1,2691,Protein shakes,14
283734,Male,28,4.9,General health,1,2302,Protein shakes,8
722794,Female,24,6.3999999999999995,Fat loss,0,1505,Fresh juice,11
209751,Female,27,6.3,General health,4,1943,Energy drinks,12
481050,Male,23,5,Build muscle,0,2845,Protein shakes,8
911774,Male,23,6.4,Endurance training,3,2260,Electrolyte,11
792517,Male,28,7.1,Fat loss,4,1572,Electrolyte,8
561079,Male,23,7.2,Build muscle,1,2673,Protein shakes,12
468452,Male,27,7.6,Fat loss,4,1731,Fresh juice,10
206081,Male,27,6.3,Fat loss,3,,Electrolyte,8
713333,Female,34,6.7,Build muscle,4,2927,Protein shakes,8
658986,Male,39,7,Build muscle,3,2946,Electrolyte,11
210078,Male,30,5.7,General health,4,2021,,8
967055,Female,35,4.3,Flexibility,1,,Fresh juice,7
122671,Male,20,9.5,Build muscle,6,2615,,11
518400,Female,21,,Build muscle,4,2525,Protein shakes,12
455528,Female,38,7.1,Build muscle,4,2552,Protein shakes,15
710490,Male,32,7.2,Endurance training,5,2364,Electrolyte,11
151663,Female,30,5.2,Build muscle,1,2528,Protein shakes,10
115708,Male,23,5.5,Flexibility,1,1518,Fresh juice,8
978338,Male,43,5.8,Build muscle,4,2802,Protein shakes,8
411955,Male,23,,Build muscle,0,2891,,14
233883,Male,25,5.7,Endurance training,4,2278,Energy drinks,8
418394,Female,23,5.8,General health,3,2428,Fresh juice,14
212547,Male,26,7.4,Fat loss,4,1605,Fresh juice,10
659042,Male,29,7.5,Fat loss,4,1918,Fresh juice,14
851102,Male,26,4.3,Flexibility,1,1808,Fresh juice,6
862002,Female,28,7.2,Build muscle,3,2726,Electrolyte,9
242483,Male,33,6.6,General health,4,1985,Protein shakes,10
758271,Female,23,7.4,Build muscle,5,,Protein shakes,14
314835,Male,26,5.7,General health,4,2327,Electrolyte,8
501896,Female,25,4.6,Endurance training,1,2272,Electrolyte,8
184896,Other,23,8.7,Build muscle,5,2659,Electrolyte,15
577095,Female,23,,General health,3,2023,Fresh juice,7
171295,Female,27,7.8,Build muscle,5,2755,Protein shakes,9
843974,Male,28,6.1,Build muscle,2,2679,Protein shakes,7
987121,Female,30,8.3,Fat loss,5,1519,Electrolyte,14
373255,Male,26,6.1,Build muscle,4,2611,,7
399648,Male,21,6.4,Endurance training,1,2119,Electrolyte,11
757162,Male,30,6.5,Build muscle,4,2693,Protein shakes,10
108155,Female,30,6.2,Build muscle,2,2967,Protein shakes,11
566872,Male,33,6.2,Build muscle,1,2610,Protein shakes,7
925816,Female,34,5.6,Build muscle,4,2709,Protein shakes,14
474705,Female,30,6,Fat loss,0,1500,Protein shakes,8
671542,Female,30,4.6,General health,2,,Electrolyte,10
908350,Female,28,3.5,Flexibility,0,1592,Fresh juice,8
710269,Female,35,4.6,General health,0,2020,Electrolyte,11
654594,Other,24,6.8,Build muscle,4,2710,Electrolyte,11
247718,Female,26,6.1,Fat loss,1,1927,Fresh juice,12
408987,Female,29,6.7,Build muscle,3,2731,Protein shakes,9
745263,Other,28,5.5,Build muscle,1,2761,Electrolyte,11
458745,Female,20,7.199999999999999,Fat loss,1,1863,Electrolyte,8
207512,Male,21,5.5,Build muscle,1,2602,Protein shakes,10
247443,Male,29,5.800000000000001,Build muscle,4,2549,Protein shakes,12
570587,Male,27,7,Flexibility,6,1873,Energy drinks,11
473616,Male,30,6.9,Fat loss,1,1609,Protein shakes,10
757409,Female,26,6.5,Fat loss,1,1955,Electrolyte,10
786976,Female,25,7,Build muscle,5,2587,Protein shakes,8
465871,Female,32,,Build muscle,3,2519,Electrolyte,12
475037,Male,26,4.7,General health,1,1813,Protein shakes,9
907364,Female,18,6.6,Build muscle,0,2632,Electrolyte,11
217796,Female,33,4.9,Fat loss,0,1924,Protein shakes,9
391999,Female,18,7.4,Build muscle,4,2795,Protein shakes,12
292506,Female,34,6.800000000000001,Fat loss,1,1533,Protein shakes,13
798376,Female,22,6.1,Build muscle,1,2879,Electrolyte,12
369544,Male,26,4.9,General health,2,2007,Protein shakes,4
480002,Female,31,4.8,General health,1,1998,Fresh juice,8
798002,Male,34,4.4,General health,1,2391,Protein shakes,11
639439,Male,25,5.2,Build muscle,2,2570,Protein shakes,11
690978,Female,25,4.6,General health,1,1954,Protein shakes,6
628787,Male,27,6.8,Fat loss,1,1577,Protein shakes,8
630583,Female,29,6.3999999999999995,Build muscle,3,2577,Protein shakes,14
488215,Male,24,5.4,Endurance training,0,2171,Fresh juice,11
421184,Female,25,5.4,Build muscle,1,2788,Electrolyte,12
898615,Male,25,6.3,Build muscle,2,2532,Electrolyte,9
522515,Other,28,6.6,General health,4,2219,Fresh juice,7
768234,Female,33,5.3,Build muscle,3,2506,Fresh juice,10
478480,Male,33,5.199999999999999,Fat loss,0,1659,Fresh juice,6
132711,Female,28,5.5,Build muscle,1,2739,Protein shakes,8
891971,Other,27,3.8,General health,1,2222,Protein shakes,12
601157,Male,19,7.2,Flexibility,4,2035,Fresh juice,10
284423,Male,36,5.4,General health,2,1869,Fresh juice,7
616349,Male,25,6.2,Build muscle,1,2867,Protein shakes,9
803714,Male,21,6.5,Build muscle,1,2715,Energy drinks,7
757917,Female,25,5.1,Fat loss,2,1603,Energy drinks,11
924792,Female,27,7.3999999999999995,Build muscle,5,,Protein shakes,13
837378,Male,18,7.7,Build muscle,4,2553,Protein shakes,8
233272,Male,21,,Fat loss,1,1793,Protein shakes,9
867836,Female,27,7.2,Fat loss,4,1829,Protein shakes,10
802335,Male,23,7.4,Flexibility,4,1702,Fresh juice,11
907789,Male,25,7.8999999999999995,Build muscle,5,,Electrolyte,12
743409,Female,30,6.6,Build muscle,2,2544,Electrolyte,11
177505,Female,27,4.5,Build muscle,1,2816,Protein shakes,12
102869,Female,23,6.6,Flexibility,4,1697,Fresh juice,9
881474,Female,28,4.3,General health,0,2015,Electrolyte,4
554351,Male,21,4.9,General health,1,2280,Energy drinks,8
412252,Female,22,6.2,Flexibility,2,1808,Energy drinks,11
736584,Male,31,6.6,Fat loss,1,1883,Electrolyte,8
718467,Male,24,8.5,Fat loss,4,1934,Fresh juice,11
190272,Male,26,7.4,Build muscle,5,2831,Energy drinks,7
138467,Male,21,5.7,Fat loss,0,,Electrolyte,12
909760,Female,20,,Fat loss,3,1526,,8
977844,Male,28,7.5,Fat loss,5,1665,Electrolyte,15
580047,Male,26,5.9,Flexibility,4,1817,Fresh juice,11
759347,Male,31,4.1,Flexibility,1,1773,Energy drinks,8
158871,Male,26,6.5,General health,4,2182,Electrolyte,15
228391,Female,27,5.4,General health,1,2164,,11
539430,Male,31,4.4,Endurance training,1,2102,Fresh juice,9
710704,Female,24,8,Build muscle,3,2947,Electrolyte,10
956703,Male,27,6.6,Build muscle,5,2832,Protein shakes,16
930496,Female,26,6.5,Endurance training,5,2372,,9
356687,Female,36,6.8,General health,5,2415,Fresh juice,8
825451,Male,26,6,Build muscle,1,2913,Electrolyte,6
207450,Female,29,6.3,Flexibility,3,1744,Fresh juice,12
271890,Male,32,7.7,Build muscle,5,2804,Protein shakes,11
538741,Male,24,7.9,Build muscle,4,,Protein shakes,13
381974,Other,24,6,Endurance training,0,2115,Fresh juice,10
500109,Male,22,8.3,Build muscle,5,2640,Fresh juice,9
216381,Male,27,6,Build muscle,3,2917,Protein shakes,10
573125,Female,29,5.6,Build muscle,4,2855,Electrolyte,13
671621,Male,24,5.4,General health,1,2277,Energy drinks,15
234508,Female,27,7.1,Fat loss,4,1624,Protein shakes,12
829650,Male,24,4.5,Endurance training,0,2024,Protein shakes,10
962645,Female,18,7.5,Fat loss,3,1693,Protein shakes,9
499111,Female,37,7.1,Build muscle,5,2883,Electrolyte,14
250810,Female,30,5.6,Flexibility,4,2111,Fresh juice,7
392890,Female,25,6.2,Build muscle,3,2901,Protein shakes,13
673665,Male,23,4.8,Flexibility,1,2016,Electrolyte,11
940477,Other,28,7.4,Fat loss,5,1518,Protein shakes,12
460032,Male,28,5,Flexibility,1,2181,Fresh juice,10
469599,Male,34,8.4,Build muscle,6,2773,Protein shakes,10
760960,Male,23,8.3,Fat loss,3,1753,Electrolyte,14
850020,Male,21,6.3,Build muscle,1,2620,Protein shakes,9
979611,Male,30,7.1000000000000005,Build muscle,4,2531,Protein shakes,10
271836,Female,34,6,Endurance training,4,2148,Protein shakes,15
829903,Female,24,7.3,Build muscle,4,2765,Protein shakes,12
145714,Other,23,8,Fat loss,2,1536,Energy drinks,8
727234,Male,28,7.4,Build muscle,4,2676,Electrolyte,10
996048,Female,28,6.8,Build muscle,3,2841,Protein shakes,8
730271,Male,26,4.8,General health,0,1812,Fresh juice,13
566960,Male,22,9.6,Fat loss,6,1682,Electrolyte,14
811851,Male,34,5.7,Endurance training,3,2144,Fresh juice,8
224123,Male,33,5,Endurance training,1,2264,Protein shakes,11
405628,Female,29,5.4,General health,1,1887,Fresh juice,9
182989,Female,26,3.6,Build muscle,0,2927,Protein shakes,10
398356,Male,24,7.9,Endurance training,4,2461,Electrolyte,13
929957,Male,28,4.6,Flexibility,1,1545,Fresh juice,6
278274,Male,36,4.7,General health,1,2191,Protein shakes,11
787995,Male,25,7.1,Fat loss,4,1618,Electrolyte,9
425352,Other,34,7,Endurance training,5,2420,Protein shakes,13
920260,Male,31,5.5,General health,2,2330,Electrolyte,9
511927,Male,25,5.6,Endurance training,4,2446,Energy drinks,12
889852,Male,22,6,Build muscle,1,2719,Protein shakes,8
983184,Female,30,4.5,Build muscle,1,2929,Energy drinks,11
231373,Other,35,4,General health,1,,,7
538452,Female,26,7.2,Build muscle,4,2954,Electrolyte,9
215294,Female,37,4.9,General health,1,1845,Protein shakes,7
559451,Male,20,6.1,Build muscle,1,2873,Protein shakes,7
748307,Male,34,7.5,Fat loss,5,1545,Protein shakes,15
165726,Other,26,6.9,Build muscle,2,2958,Fresh juice,16
241564,Female,37,,Build muscle,3,2513,Protein shakes,12
477812,Female,20,4.6,Flexibility,1,2096,Electrolyte,11
368246,Female,28,5.1,General health,4,1802,Fresh juice,8
805696,Female,33,5.6,Endurance training,3,2027,Electrolyte,8
218015,Female,20,8,Fat loss,2,1880,Electrolyte,11
840674,Other,34,7.2,Endurance training,5,2156,Protein shakes,9
354079,Female,23,6.1,Endurance training,4,2342,Fresh juice,12
650929,Female,23,7.4,Fat loss,3,1901,Protein shakes,10
789944,Female,19,7.4,Build muscle,4,2918,Protein shakes,10
788105,Male,25,5.9,Endurance training,2,2332,Protein shakes,9
613758,Female,27,5.9,General health,5,2486,Protein shakes,13
465890,Male,29,6.3,Flexibility,3,1613,Energy drinks,10
545101,Female,22,,Build muscle,3,2888,Electrolyte,9
136631,Other,26,4.6,General health,1,2286,Fresh juice,15
866577,Female,25,7.4,Fat loss,3,1830,Fresh juice,13
172991,Male,31,8.9,Fat loss,5,1749,Electrolyte,12
104014,Male,32,4.3,Build muscle,1,2558,Electrolyte,9
373237,Male,37,7.199999999999999,Fat loss,3,1702,Fresh juice,8
118070,Female,18,7.8999999999999995,Build muscle,4,2814,Protein shakes,7
